street,crashes
Vete tn,1
Killustiku tn,1
Lehtri tn,1
Vana-Pärnu mnt,1
Raba tn,1
Trepi tn,1
Metsa tn,1
Kuuse tn,1
TALLINN - SAKU - LAAGRI,1
Paakspuu tee,1
Lemmiku tn,1
Kesktee,1
Piiri tn,1
Auna tn,1
Lossi plats,1
Härgmäe tn,1
Mõigu tee,1
Merekalju tn,1
Vibu tn,1
Liiviku tn,1
Roheline aas,1
Allveelaeva tn,1
Tedrepere tn,1
Taludevahe tn,1
Vana turg,1
Marati tn,1
Päikese pst,1
Nelgi tn,1
Virve tn,1
Gildi tn,1
Lilleoru tee,1
A. Alle tn,1
Laulu tn,1
Möldre tee,1
Ilmarise tn,1
Kaheküla tee,1
Kuunari tn,1
Oblika tee,1
Islandi väljak,1
Oru tn,1
Silde tn,1
Tooma tn,1
Pilvetee tn,1
Artelli tn,1
Jõeoti tn,1
Bremeni käik,1
Küti tee,1
Pikk jalg,1
Tuule tee,1
Harksaba tn,1
Halla tn,1
Haljas tee,1
Liivametsa tn,1
Karjamaa tn,1
Soone tn,1
Uus tn,1
Visase tn,1
Vahepere tn,1
Maarjaheina tn,1
Alemaa tn,1
Oda tn,1
VIIMSI - RANDVERE,1
Lõokese tn,1
Kummeli tee,1
Paepargi tn,1
Preesi tn,1
Tulbi tn,1
Malmi tn,1
Toom-Kooli tn,1
Küti tn,1
Angervaksa tn,1
Tulimulla tn,1
Suur-Sõjamäe põik,1
Ao tn,1
Nata tn,1
Laiamäe tee,1
Paide tn,1
Laane tn,1
Rahe tn,1
Kohtu tn,1
Tulika põik,1
Lõuna tn,1
Kupra tee,1
Hospidali tn,1
Torupilli ots,1
Veskilise tn,1
TALLINN - RANNAMÕISA - KLOOGARANNA,1
Lääne tee,1
Lauka tn,1
Sügislase tn,1
Vööri tn,1
K. A. Hermanni tn,1
Täpiku tn,1
Rabaküla tn,1
Spordi tn,1
Võsu tn,1
Printsu tee,1
Kihnu tn,1
Kollane tn,1
Kitseküla tn,1
Lennusadama tn,1
Vesipapi tn,1
Nabra tn,1
Mõtuse tn,1
Neeme tn,1
Tildri tn,1
Luite tn,1
Orase tn,1
Rukki tn,1
Pille tn,1
Mahla tn,1
Hirve tn,1
Sepapere tn,1
Havi tn,1
J. Köleri tn,1
Looga tn,1
Uue Maailma tn,1
Käokeele tee,1
Leevikese tn,1
Magdaleena tn,1
Vanakuu tn,1
Uus-Volta tn,1
Tala tn,1
Näituse tn,1
Tüve tn,1
J. Mändmetsa tn,1
Siidisaba tn,1
Leete tn,1
Vase tn,1
Vedru tn,1
Liiva tn,1
Mureli tn,1
Rehe tn,1
Palderjani tee,1
Kagu tn,1
Kaare tn,1
Väike-Sõjamäe tn,1
Abara tn,1
Lammi tn,1
Paabusilma tn,1
Rõugu tn,1
Kõlviku tee,1
Jakobi tn,1
Värsi tn,1
Kuristiku tn,1
Metsaveere tn,1
Kivimäe tn,1
Madalmaa tn,1
Kursi tn,1
Rumbi tn,1
Teelise tn,1
Kiisa tn,1
Männimetsa tee,1
